Category,Activity_Description,Spend_Amount,Spend_Currency,Emission_Factor,CO2e_Tonnes,Date,Supplier,Category_Details,Data_Quality
Category 11,Raw Materials - Aluminum,13480.37,USD,0.861,11.61,2024-04-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 11,Inbound Logistics - Truck,44382.48,USD,1.295,57.48,2024-01-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 4,Inbound Logistics - Truck,301407.35,USD,1.706,514.2,2024-12-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 8,Product Use Phase,139817.16,USD,2.614,365.48,2024-03-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 5,Packaging Materials,108441.57,USD,2.302,249.63,2024-02-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 2,IT Hardware,423899.69,USD,1.831,776.16,2024-01-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 2,Business Travel - Air,40321.3,USD,0.915,36.89,2024-11-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 4,Raw Materials - Aluminum,23866.37,USD,0.722,17.23,2024-05-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 14,Raw Materials - Aluminum,190682.99,USD,1.388,264.67,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 6,Office Supplies,335417.41,USD,2.12,711.08,2024-11-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 11,Packaging Materials,267535.8,USD,0.772,206.54,2024-08-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 15,Inbound Logistics - Truck,110587.97,USD,1.007,111.36,2024-01-15,OfficeMax,Scope 3 emissions category,Primary data
Category 13,IT Hardware,201181.23,USD,0.245,49.29,2024-10-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 11,Employee Commuting,198420.32,USD,2.748,545.26,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 3,Office Supplies,372749.5,USD,1.64,611.31,2024-12-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 7,IT Hardware,110441.06,USD,2.993,330.55,2024-09-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 13,Raw Materials - Steel,430690.35,USD,0.501,215.78,2024-03-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 2,Business Travel - Air,191428.02,USD,2.989,572.18,2024-09-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 14,Raw Materials - Steel,340461.42,USD,0.388,132.1,2024-09-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 2,Manufacturing Equipment,217947.86,USD,1.388,302.51,2024-12-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 13,Packaging Materials,254333.16,USD,0.364,92.58,2024-11-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 10,Office Supplies,77266.8,USD,2.299,177.64,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 6,Employee Commuting,10718.89,USD,2.791,29.92,2024-05-15,OfficeMax,Scope 3 emissions category,Primary data
Category 4,Product Use Phase,473527.77,USD,0.303,143.48,2024-08-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
